alg,source,dest,number,time,length,length_at_number_0
esx,Corso Inghilterra Torino,Piazza Matteotti Genova,1,4.716520309448242,179074.14,177420.263
esx,Corso Inghilterra Torino,Piazza Matteotti Genova,2,5.387226819992065,212319.309,177420.263
esx,Corso Inghilterra Torino,Piazza Matteotti Genova,3,6.331499814987183,216508.926,177420.263
esx,Corso Inghilterra Torino,Piazza Matteotti Genova,4,6.811135530471802,221165.554,177420.263
esx,Corso Inghilterra Torino,Piazza Matteotti Genova,5,7.740519762039185,276625.016,177420.263
esx,Corso Inghilterra Torino,Piazza Matteotti Genova,6,8.539648056030273,294035.678,177420.263
esx,Corso Inghilterra Torino,Via Madama Cristina Torino,0,2.922435998916626,3856.851,3856.851
esx,Corso Inghilterra Torino,Via Madama Cristina Torino,1,3.068373918533325,3908.617,3856.851
esx,Corso Inghilterra Torino,Via Madama Cristina Torino,2,3.311120748519897,3912.498,3856.851
esx,Corso Inghilterra Torino,Via Madama Cristina Torino,3,3.4511663913726807,4001.218,3856.851
esx,Corso Inghilterra Torino,Via Madama Cristina Torino,4,3.6161630153656006,4113.4,3856.851
esx,Corso Inghilterra Torino,Via Madama Cristina Torino,5,3.7066726684570312,4164.293,3856.851
esx,Corso Inghilterra Torino,Via Madama Cristina Torino,6,3.773921012878418,4319.421,3856.851
esx,Corso Inghilterra Torino,Via Manzoni Milano,0,3.9820380210876474,146860.127,146860.127
esx,Corso Inghilterra Torino,Via Manzoni Milano,1,4.557614803314209,153272.513,146860.127
esx,Corso Inghilterra Torino,Via Manzoni Milano,2,4.990069627761841,172565.97,146860.127
esx,Corso Inghilterra Torino,Via Manzoni Milano,3,5.480423927307129,198227.184,146860.127
esx,Corso Inghilterra Torino,Via Manzoni Milano,4,5.976046085357666,206346.474,146860.127
esx,Corso Inghilterra Torino,Via Manzoni Milano,5,6.383235216140747,232049.891,146860.127
esx,Corso Inghilterra Torino,Via Manzoni Milano,6,6.880046367645264,255154.565,146860.127
esx,Corso Italia Genova,Via Corsica Genova,0,1.1088321208953855,3830.62,3830.62
esx,Corso Italia Genova,Via Corsica Genova,1,1.2428264617919922,3999.717,3830.62
esx,Corso Italia Genova,Via Corsica Genova,2,1.372347116470337,5067.724,3830.62
esx,Corso Italia Genova,Via Corsica Genova,3,1.5076639652252195,5210.6,3830.62
esx,Corso Italia Genova,Via Corsica Genova,4,1.7861578464508057,6223.288,3830.62
esx,Corso Italia Genova,Via Corsica Genova,5,1.9598751068115237,8746.92,3830.62
esx,Corso Italia Genova,Via Corsica Genova,6,2.1104443073272705,12855.716,3830.62
esx,Corso Italia Genova,Via Torino Cuneo,0,1.654789686203003,156069.817,156069.817
esx,Corso Italia Genova,Via Torino Cuneo,1,1.943687438964844,204306.232,156069.817
esx,Corso Italia Genova,Via Torino Cuneo,2,2.338792562484741,272381.379,156069.817
esx,Corso Italia Genova,Via Torino Cuneo,3,300.0,,156069.817
esx,Corso Italia Genova,Via Torino Cuneo,4,300.0,,156069.817
esx,Corso Italia Genova,Via Torino Cuneo,5,300.0,,156069.817
esx,Corso Italia Genova,Via Torino Cuneo,6,300.0,,156069.817
esx,Corso Italia Savona,Via Paleocapa Savona,0,0.5568504333496094,578.151,578.151
esx,Corso Italia Savona,Via Paleocapa Savona,1,0.94097638130188,983.491,578.151
esx,Corso Italia Savona,Via Paleocapa Savona,2,1.2898893356323242,1797.636,578.151
esx,Corso Italia Savona,Via Paleocapa Savona,3,1.4041862487792969,4818.015,578.151
esx,Corso Italia Savona,Via Paleocapa Savona,4,1.5960121154785156,4911.861,578.151
esx,Corso Italia Savona,Via Paleocapa Savona,5,1.6787686347961426,8090.963,578.151
esx,Corso Italia Savona,Via Paleocapa Savona,6,1.7716360092163086,28121.46,578.151
esx,Corso Magenta Milano,Via Po Torino,0,4.7145676612854,152921.854,152921.854
